,020001.OF,090001.OF,121002.OF,100020.OF,160603.OF,161605.OF,233001.OF,288001.OF
2004-12-31,1.086,1.1881,0.9494,1.0605,1.114,1.055,0.934,0.9454
2005-01-04,1.072,1.172,0.94,1.0487,1.101,1.044,0.9177,0.9326
2005-01-05,1.073,1.1753,0.9426,1.0541,1.105,1.046,0.9204,0.9342
2005-01-06,1.066,1.1701,0.9403,1.049,1.101,1.037,0.9111,0.9268
2005-01-07,1.063,1.1673,0.9411,1.0495,1.101,1.036,0.9055,0.9261
2005-01-10,1.069,1.1721,0.9458,1.0586,1.108,1.045,0.9099,0.9307
2005-01-11,1.071,1.175,0.9502,1.0596,1.114,1.046,0.9114,0.9329
2005-01-12,1.072,1.1764,0.9506,1.0604,1.116,1.045,0.9138,0.9347
2005-01-13,1.073,1.1767,0.9493,1.0626,1.112,1.045,0.917,0.9357
2005-01-14,1.069,1.1718,0.9461,1.0601,1.109,1.038,0.913,0.932
2005-01-17,1.062,1.1629,0.9377,1.0557,1.099,1.029,0.9009,0.9236
2005-01-18,1.064,1.1611,0.9355,1.0575,1.098,1.032,0.9003,0.9242
2005-01-19,1.056,1.1547,0.9306,1.0496,1.092,1.026,0.8972,0.9195
2005-01-20,1.051,1.1504,0.9273,1.0442,1.085,1.019,0.8911,0.9145
2005-01-21,1.064,1.1659,0.935,1.0549,1.102,1.039,0.9077,0.9304
2005-01-24,1.072,1.1743,0.9397,1.0655,1.109,1.05,0.9205,0.9396
2005-01-25,1.077,1.1771,0.9442,1.072,1.11,1.052,0.9273,0.9438
2005-01-26,1.076,1.1749,0.9441,1.0716,1.108,1.05,0.9216,0.9411
2005-01-27,1.07,1.1669,0.9391,1.0666,1.102,1.035,0.9137,0.9341
2005-01-28,1.07,1.1643,0.9376,1.0655,1.102,1.035,0.9101,0.932
2005-01-31,1.069,1.1624,0.936,1.0661,1.1,1.027,0.9092,0.93
2005-02-01,1.072,1.1632,0.9324,1.0661,1.1,1.029,0.9155,0.931
2005-02-02,1.1,1.1981,0.9566,1.094,1.131,1.06,0.947,0.9604
2005-02-03,1.095,1.1929,0.953,1.0901,1.126,1.051,0.9437,0.9567
2005-02-04,1.109,1.2137,0.9646,1.1054,1.141,1.07,0.9572,0.9718
2005-02-16,1.112,1.2143,0.9681,1.1065,1.146,1.072,0.9604,0.9757
2005-02-17,1.102,1.207,0.9604,1.0964,1.136,1.067,0.9529,0.9694
2005-02-18,1.095,1.1983,0.9533,1.0917,1.126,1.057,0.9444,0.9623
2005-02-21,1.109,1.212,0.9669,1.1064,1.143,1.071,0.9592,0.9751
2005-02-22,1.121,1.2234,0.9767,1.1194,1.156,1.084,0.9717,0.9881
2005-02-23,1.116,1.2201,0.9712,1.1177,1.153,1.084,0.9689,0.9856
2005-02-24,1.113,1.2186,0.9693,1.1194,1.149,1.085,0.9652,0.9846
2005-02-25,1.115,1.2206,0.9726,1.1204,1.153,1.088,0.9666,0.9876
2005-02-28,1.111,1.2151,0.9723,1.1186,1.149,1.082,0.9677,0.9839
2005-03-01,1.107,1.2111,0.9697,1.114,1.145,1.076,0.9638,0.9796
2005-03-02,1.097,1.2009,0.9626,1.1049,1.137,1.07,0.9532,0.972
2005-03-03,1.102,1.205,0.966,1.1109,1.141,1.073,0.9581,0.9734
2005-03-04,1.102,1.2049,0.9691,1.1164,1.141,1.071,0.9604,0.9723
2005-03-07,1.11,1.2111,0.9755,1.1286,1.151,1.076,0.9644,0.9782
2005-03-08,1.122,1.2232,0.9873,1.1449,1.166,1.088,0.9804,0.9915
2005-03-09,1.121,1.2221,0.9917,1.1483,1.17,1.085,0.9782,0.9911
2005-03-10,1.109,1.2095,0.9815,1.1374,1.157,1.072,0.9646,0.9789
2005-03-11,1.122,1.2147,0.9933,1.1547,1.165,1.067,0.9737,0.982
2005-03-14,1.139,1.2233,1.0117,1.1766,1.178,1.074,0.9862,0.9906
2005-03-15,1.127,1.2092,1.0006,1.1614,1.165,1.061,0.9724,0.9797
2005-03-16,1.119,1.1984,0.9931,1.1506,1.156,1.054,0.9643,0.9719
2005-03-17,1.119,1.1963,0.9951,1.1531,1.151,1.051,0.9606,0.9653
2005-03-18,1.109,1.1903,0.9823,1.1434,1.142,1.047,0.9523,0.9582
2005-03-21,1.115,1.1911,0.9884,1.1529,1.15,1.048,0.9541,0.9618
2005-03-22,1.125,1.1941,0.9999,1.1707,1.154,1.036,0.9537,0.959
2005-03-23,1.112,1.1875,0.99,1.1614,1.148,1.036,0.9457,0.9558
2005-03-24,1.102,1.1852,0.9828,1.1447,1.141,1.034,0.9422,0.9535
2005-03-25,1.104,1.1869,0.9849,1.1473,1.143,1.034,0.9442,0.9539
2005-03-28,1.112,1.1915,0.9893,1.1635,1.148,1.03,0.9472,0.9551
2005-03-29,1.106,1.1872,0.9842,1.1592,1.142,1.028,0.9455,0.952
2005-03-30,1.095,1.1808,0.9728,1.1441,1.134,1.019,0.9339,0.9427
2005-03-31,1.1,1.1857,0.9773,1.1479,1.139,1.026,0.9398,0.9464
2005-04-01,1.125,1.2041,0.9993,1.1738,1.168,1.047,0.965,0.9686
2005-04-04,1.127,1.2003,0.9991,1.1861,1.165,1.037,0.9676,0.963
2005-04-05,1.13,1.1998,1.0035,1.1921,1.167,1.033,0.966,0.9611
2005-04-06,1.152,1.2184,1.0242,1.2177,1.187,1.049,0.9898,0.9769
2005-04-07,1.147,1.2185,1.0182,1.2141,1.184,1.057,0.9895,0.9814
2005-04-08,1.153,1.2275,1.0213,1.2217,1.191,1.068,0.9993,0.9919
2005-04-11,1.133,1.2143,1.0045,1.1963,1.175,1.057,0.9849,0.981
2005-04-12,1.129,1.2074,0.9993,1.1898,1.169,1.049,0.9813,0.9739
2005-04-13,1.138,1.2179,1.0077,1.2043,1.18,1.061,0.9884,0.9864
2005-04-14,1.133,1.2151,1.0007,1.2019,1.175,1.054,0.9813,0.981
2005-04-15,1.13,1.2077,0.9931,1.1977,1.167,1.046,0.9797,0.9737
2005-04-18,1.123,1.1993,0.9874,1.1909,1.16,1.037,0.9728,0.9673
2005-04-19,1.116,1.1987,0.9858,1.1843,1.156,1.041,0.972,0.9679
2005-04-20,1.115,1.194,0.9881,1.1832,1.154,1.033,0.9674,0.9617
2005-04-21,1.128,1.1978,0.9983,1.2051,1.163,1.036,0.9741,0.9649
2005-04-22,1.128,1.1979,0.9968,1.2024,1.16,1.04,0.9757,0.9629
2005-04-25,1.136,1.2031,0.9971,1.2162,1.165,1.042,0.9793,0.963
2005-04-26,1.139,1.2082,1.0048,1.2231,1.171,1.049,0.9731,0.967
2005-04-27,1.14,1.2003,1.0048,1.2181,1.166,1.04,0.973,0.9631
2005-04-28,1.145,1.2108,1.0121,1.2242,1.17,1.051,0.9813,0.9702
2005-04-29,1.134,1.2077,1.0028,1.2165,1.163,1.043,0.9623,0.9614
2005-05-09,1.114,1.193,0.9883,1.1986,1.145,1.024,0.9417,0.943
2005-05-10,1.107,1.1872,0.9818,1.1881,1.139,1.027,0.9409,0.9441
2005-05-11,1.087,1.1756,0.9645,1.1668,1.129,1.01,0.9212,0.9301
2005-05-12,1.072,1.158,0.9521,1.1483,1.116,0.996,0.906,0.9183
2005-05-13,1.07,1.161,0.9532,1.1469,1.112,0.995,0.9075,0.9156
2005-05-16,1.066,1.1574,0.9485,1.1421,1.096,0.987,0.8998,0.9083
2005-05-17,1.069,1.1648,0.9526,1.1501,1.095,0.986,0.8974,0.9108
2005-05-18,1.059,1.1599,0.9436,1.1378,1.093,0.983,0.895,0.9068
2005-05-19,1.058,1.1624,0.9422,1.1412,1.095,0.982,0.8928,0.9075
2005-05-20,1.061,1.1647,0.9453,1.1458,1.095,0.983,0.8951,0.9088
2005-05-23,1.05,1.1556,0.9341,1.1325,1.086,0.968,0.8851,0.8975
2005-05-24,1.047,1.1547,0.9331,1.1292,1.081,0.967,0.8807,0.8951
2005-05-25,1.046,1.1532,0.9316,1.1306,1.077,0.963,0.88,0.8943
2005-05-26,1.035,1.1417,0.9192,1.1145,1.064,0.957,0.8662,0.886
2005-05-27,1.019,1.1309,0.909,1.0945,1.054,0.952,0.8571,0.8772
2005-05-30,1.022,1.1348,0.9102,1.1011,1.057,0.949,0.8596,0.879
2005-05-31,1.026,1.1404,0.9145,1.103,1.058,0.949,0.8601,0.8805
2005-06-01,1.014,1.1292,0.9022,1.0995,1.044,0.929,0.837,0.8661
2005-06-02,0.984,1.106,0.8763,1.0538,1.015,0.906,0.8128,0.8472
2005-06-03,0.99,1.1103,0.8795,1.057,1.016,0.913,0.8206,0.8495
2005-06-06,1.02,1.135,0.9038,1.0978,1.037,0.937,0.8493,0.8704
2005-06-07,1.016,1.1331,0.9034,1.0933,1.032,0.928,0.8406,0.8676
2005-06-08,1.073,1.1861,0.9462,1.1605,1.088,0.98,0.8935,0.9185
2005-06-09,1.071,1.1827,0.9449,1.1579,1.09,0.985,0.898,0.9214
2005-06-10,1.057,1.1691,0.9327,1.1368,1.079,0.974,0.8822,0.9054
2005-06-13,1.05,1.1622,0.9249,1.1343,1.074,0.97,0.8724,0.9006
2005-06-14,1.043,1.1561,0.9192,1.1307,1.07,0.96,0.8702,0.8958
2005-06-15,1.036,1.1497,0.9122,1.1247,1.067,0.947,0.8658,0.887
2005-06-16,1.049,1.1644,0.9238,1.1394,1.079,0.958,0.8669,0.8949
2005-06-17,1.043,1.1644,0.9222,1.1387,1.083,0.954,0.8616,0.8918
2005-06-20,1.069,1.1858,0.9393,1.1639,1.108,0.973,0.8788,0.9116
2005-06-21,1.063,1.1802,0.9333,1.1586,1.102,0.969,0.8732,0.9055
2005-06-22,1.074,1.1905,0.9415,1.1714,1.106,0.97,0.8756,0.9101
2005-06-23,1.07,1.184,0.9376,1.1644,1.101,0.967,0.8757,0.9088
2005-06-24,1.072,1.1855,0.9371,1.1672,1.108,0.97,0.8786,0.9105
2005-06-27,1.082,1.1982,0.9449,1.182,1.122,0.985,0.8896,0.9229
2005-06-28,1.072,1.1915,0.9398,1.1739,1.116,0.978,0.882,0.9174
2005-06-29,1.068,1.1847,0.9357,1.1676,1.11,0.977,0.8797,0.9144
2005-06-30,1.063,1.1782,0.9295,1.161,1.097,0.967,0.8696,0.9028
2005-07-01,1.051,1.167,0.9219,1.1482,1.088,0.954,0.8626,0.8946
2005-07-04,1.055,1.169,0.9247,1.1492,1.094,0.955,0.8672,0.8957
2005-07-05,1.053,1.1684,0.9235,1.1532,1.09,0.952,0.8629,0.8932
2005-07-06,1.041,1.16,0.9125,1.1336,1.082,0.945,0.8568,0.8881
2005-07-07,1.04,1.1593,0.912,1.1351,1.083,0.946,0.8558,0.8883
2005-07-08,1.042,1.1583,0.9131,1.1346,1.079,0.938,0.8493,0.8814
2005-07-11,1.042,1.1575,0.9125,1.1345,1.081,0.936,0.8414,0.8772
2005-07-12,1.058,1.1775,0.9277,1.1465,1.104,0.961,0.8585,0.8947
2005-07-13,1.055,1.1721,0.9289,1.1415,1.101,0.964,0.8567,0.8919
2005-07-14,1.06,1.1782,0.9317,1.1487,1.108,0.968,0.8602,0.895
2005-07-15,1.059,1.1761,0.9285,1.148,1.104,0.969,0.8582,0.8922
2005-07-18,1.055,1.173,0.9253,1.1395,1.102,0.965,0.858,0.8892
2005-07-19,1.054,1.1739,0.9229,1.1403,1.098,0.967,0.8562,0.8891
2005-07-20,1.059,1.1806,0.9283,1.1492,1.105,0.968,0.8622,0.8943
2005-07-21,1.059,1.1808,0.9298,1.1478,1.106,0.962,0.8605,0.8939
2005-07-22,1.068,1.1877,0.9357,1.1556,1.111,0.977,0.8661,0.9021
2005-07-25,1.068,1.1868,0.9367,1.1589,1.11,0.967,0.8625,0.9
2005-07-26,1.076,1.1989,0.9486,1.1687,1.117,0.99,0.8817,0.9136
2005-07-27,1.086,1.2109,0.9578,1.1841,1.127,1.004,0.8954,0.9256
2005-07-28,1.084,1.2084,0.9564,1.1811,1.125,1.007,0.8956,0.9257
2005-07-29,1.079,1.2048,0.9508,1.1756,1.124,1.001,0.8924,0.9236
2005-08-01,1.081,1.2061,0.9503,1.1808,1.125,1.006,0.8936,0.9259
2005-08-02,1.085,1.211,0.9569,1.1857,1.13,1.014,0.8968,0.9327
2005-08-03,1.085,1.2117,0.9576,1.1856,1.126,1.027,0.8955,0.9369
2005-08-04,1.082,1.21,0.9535,1.1872,1.125,1.019,0.892,0.934
2005-08-05,1.093,1.2237,0.9638,1.2044,1.142,1.039,0.9044,0.9452
2005-08-08,1.086,1.2219,0.9605,1.1957,1.139,1.043,0.904,0.9458
2005-08-09,1.083,1.2199,0.9582,1.1918,1.143,1.045,0.9062,0.947
2005-08-10,1.088,1.2266,0.9643,1.195,1.149,1.052,0.9128,0.9512
2005-08-11,1.104,1.2406,0.981,1.2202,1.16,1.07,0.9271,0.9621
2005-08-12,1.092,1.2312,0.9726,1.2082,1.145,1.059,0.9213,0.9536
2005-08-15,1.107,1.2494,0.9954,1.2174,1.161,1.074,0.9335,0.9675
2005-08-16,1.096,1.2371,0.9882,1.2067,1.15,1.07,0.9241,0.9601
2005-08-17,1.107,1.2426,0.9942,1.2118,1.157,1.076,0.9293,0.9637
2005-08-18,1.086,1.2248,0.976,1.1887,1.139,1.048,0.908,0.9475
2005-08-19,1.086,1.2254,0.9705,1.1886,1.143,1.047,0.9084,0.9478
2005-08-22,1.093,1.2309,0.9768,1.1941,1.15,1.054,0.9093,0.9537
2005-08-23,1.091,1.2287,0.9809,1.1929,1.147,1.052,0.908,0.9512
2005-08-24,1.096,1.2318,0.9843,1.1968,1.151,1.056,0.9141,0.9554
2005-08-25,1.094,1.2273,0.9817,1.1924,1.148,1.052,0.9102,0.9522
2005-08-26,1.093,1.2255,0.98,1.1892,1.148,1.052,0.9069,0.9497
2005-08-29,1.085,1.2205,0.9749,1.1871,1.141,1.039,0.9,0.9433
2005-08-30,1.083,1.2228,0.9743,1.1863,1.14,1.037,0.8957,0.9417
2005-08-31,1.093,1.2316,0.9854,1.1969,1.148,1.042,0.9034,0.9494
2005-09-01,1.104,1.2401,0.9958,1.2056,1.159,1.054,0.9128,0.9596
2005-09-02,1.107,1.2417,1.0033,1.2046,1.16,1.063,0.913,0.9616
2005-09-05,1.105,1.2385,1.0023,1.202,1.157,1.063,0.9126,0.9627
2005-09-06,1.093,1.2285,0.9911,1.1944,1.146,1.053,0.9076,0.9559
2005-09-07,1.106,1.2353,1.0034,1.2083,1.155,1.065,0.9138,0.9661
2005-09-08,1.108,1.2394,1.0058,1.2157,1.159,1.07,0.9162,0.968
2005-09-09,1.106,1.2378,1.0049,1.2145,1.157,1.068,0.914,0.9653
2005-09-12,1.106,1.2357,1.0023,1.2182,1.153,1.064,0.9105,0.9634
2005-09-13,1.119,1.2446,1.0125,1.2338,1.163,1.074,0.9183,0.9717
2005-09-14,1.119,1.2485,1.0143,1.2363,1.167,1.083,0.922,0.9752
2005-09-15,1.119,1.2466,1.0115,1.2326,1.165,1.086,0.9202,0.9745
2005-09-16,1.116,1.2437,1.0079,1.2269,1.161,1.079,0.9147,0.9717
2005-09-19,1.117,1.2418,1.0084,1.2232,1.161,1.078,0.9135,0.9724
2005-09-20,1.112,1.2378,1.0017,1.2187,1.156,1.069,0.9062,0.9672
2005-09-21,1.099,1.226,0.9929,1.2024,1.145,1.063,0.8964,0.9579
2005-09-22,1.09,1.2158,0.986,1.1918,1.134,1.059,0.8896,0.9489
2005-09-23,1.09,1.2119,0.9857,1.1961,1.128,1.062,0.8875,0.9456
2005-09-26,1.092,1.2117,0.9887,1.1952,1.132,1.071,0.888,0.9463
2005-09-27,1.089,1.2066,0.9884,1.1927,1.125,1.065,0.8783,0.9406
2005-09-28,1.089,1.2092,0.9913,1.1921,1.126,1.073,0.8801,0.9426
2005-09-29,1.101,1.218,0.9999,1.1995,1.135,1.08,0.8889,0.9515
2005-09-30,1.102,1.2186,0.9998,1.2002,1.138,1.079,0.8906,0.9532
2005-10-10,1.098,1.2145,0.9942,1.1959,1.133,1.072,0.8873,0.9487
2005-10-11,1.107,1.2205,1.0021,1.2009,1.143,1.085,0.8934,0.9544
2005-10-12,1.111,1.2223,1.0074,1.2031,1.147,1.097,0.8905,0.9566
2005-10-13,1.109,1.2166,1.0096,1.1971,1.145,1.093,0.8835,0.9527
2005-10-14,1.102,1.203,1.0072,1.1896,1.133,1.093,0.8709,0.9462
2005-10-17,1.106,1.1988,1.0103,1.1891,1.128,1.096,0.8634,0.9421
2005-10-18,1.111,1.1994,1.0073,1.1849,1.133,1.103,0.8652,0.9431
2005-10-19,1.107,1.1977,1.003,1.187,1.127,1.094,0.8609,0.9419
2005-10-20,1.111,1.2023,1.0049,1.1903,1.132,1.098,0.8621,0.9448
2005-10-21,1.119,1.2025,1.0092,1.1931,1.133,1.105,0.8614,0.9466
2005-10-24,1.124,1.2028,1.0157,1.1976,1.13,1.111,0.86,0.9481
2005-10-25,1.114,1.1934,1.0049,1.1885,1.12,1.1,0.8462,0.9409
2005-10-26,1.099,1.1835,0.9918,1.1785,1.108,1.091,0.8365,0.9315
2005-10-27,1.101,1.1847,0.9947,1.1793,1.114,1.096,0.842,0.9331
2005-10-28,1.095,1.1814,0.9887,1.1723,1.11,1.081,0.8371,0.9282
2005-10-31,1.098,1.1922,0.9967,1.1797,1.119,1.09,0.8498,0.9343
2005-11-01,1.091,1.1929,0.9959,1.1746,1.115,1.093,0.8509,0.9328
2005-11-02,1.097,1.1944,0.9963,1.1761,1.116,1.095,0.853,0.9348
2005-11-03,1.085,1.1853,0.9858,1.1647,1.105,1.09,0.8446,0.9288
2005-11-04,1.087,1.1874,0.9897,1.1673,1.105,1.092,0.845,0.9299
2005-11-07,1.087,1.1833,0.983,1.1618,1.099,1.086,0.8444,0.9275
2005-11-08,1.094,1.1853,0.9851,1.1637,1.101,1.094,0.8453,0.9299
2005-11-09,1.094,1.1857,0.9921,1.1682,1.108,1.1,0.8402,0.9304
2005-11-10,1.081,1.1762,0.9864,1.1605,1.098,1.093,0.8308,0.9232
2005-11-11,1.08,1.1774,0.9873,1.1611,1.097,1.095,0.83,0.9239
2005-11-14,1.075,1.1748,0.9808,1.1516,1.094,1.089,0.8285,0.9211
2005-11-15,1.065,1.1712,0.9727,1.1429,1.085,1.079,0.8239,0.9164
2005-11-16,1.066,1.1742,0.9722,1.1443,1.087,1.075,0.8282,0.9173
2005-11-17,1.062,1.1738,0.9632,1.1419,1.086,1.078,0.8296,0.9167
2005-11-18,1.077,1.1845,0.9726,1.1542,1.098,1.091,0.8384,0.9266
2005-11-21,1.079,1.1852,0.9753,1.1572,1.098,1.088,0.8427,0.9287
2005-11-22,1.072,1.178,0.9691,1.153,1.092,1.079,0.8341,0.9227
2005-11-23,1.077,1.183,0.9717,1.1579,1.098,1.083,0.8369,0.9256
2005-11-24,1.077,1.1854,0.9711,1.1579,1.102,1.085,0.8381,0.9275
2005-11-25,1.077,1.1881,0.9696,1.1597,1.103,1.077,0.8412,0.9268
2005-11-28,1.075,1.1859,0.9653,1.1548,1.102,1.076,0.8395,0.9242
2005-11-29,1.065,1.1789,0.9599,1.1469,1.093,1.071,0.8338,0.9196
2005-11-30,1.067,1.1797,0.9583,1.1462,1.093,1.075,0.8313,0.9186
2005-12-01,1.067,1.1757,0.9561,1.1434,1.09,1.076,0.8276,0.9163
2005-12-02,1.064,1.1752,0.9552,1.1435,1.085,1.074,0.8273,0.9165
2005-12-05,1.05,1.1703,0.9456,1.139,1.079,1.069,0.8227,0.9129
2005-12-06,1.049,1.176,0.9456,1.1389,1.084,1.071,0.8277,0.9165
2005-12-07,1.054,1.1819,0.9512,1.1432,1.088,1.078,0.8331,0.922
2005-12-08,1.053,1.1805,0.9543,1.1426,1.087,1.076,0.836,0.9247
2005-12-09,1.065,1.1898,0.9626,1.1509,1.096,1.085,0.8421,0.9324
2005-12-12,1.062,1.1888,0.9601,1.145,1.097,1.087,0.8423,0.9316
2005-12-13,1.062,1.1876,0.9584,1.1417,1.096,1.086,0.8407,0.9317
2005-12-14,1.072,1.1931,0.9735,1.1506,1.1,1.088,0.8432,0.9363
2005-12-15,1.07,1.1925,0.9756,1.152,1.098,1.087,0.8435,0.9363
2005-12-16,1.077,1.1992,0.9778,1.1588,1.102,1.094,0.8477,0.9404
2005-12-19,1.076,1.2006,0.9791,1.1606,1.101,1.096,0.8464,0.9412
2005-12-20,1.08,1.2046,0.9819,1.1642,1.104,1.095,0.8491,0.9449
2005-12-21,1.076,1.2031,0.9799,1.1656,1.101,1.095,0.8498,0.944
2005-12-22,1.081,1.2087,0.9885,1.1775,1.106,1.1,0.8544,0.9501
2005-12-23,1.091,1.2132,0.9928,1.1861,1.113,1.111,0.8563,0.9547
2005-12-26,1.096,1.2176,0.9988,1.1945,1.118,1.114,0.8568,0.9587
2005-12-27,1.096,1.2157,0.9965,1.1948,1.116,1.119,0.8609,0.9565
2005-12-28,1.098,1.2184,0.9985,1.2022,1.12,1.123,0.863,0.9587
2005-12-29,1.118,1.2456,1.0215,1.2219,1.154,1.145,0.8711,0.9752
2005-12-30,1.107,1.2374,1.0169,1.2099,1.146,1.141,0.8708,0.9706
2006-01-04,1.12,1.2565,1.0307,1.2201,1.165,1.153,0.8776,0.977
2006-01-05,1.136,1.2761,1.0432,1.2358,1.178,1.159,0.8951,0.9908
2006-01-06,1.153,1.2874,1.0452,1.2528,1.191,1.166,0.9006,1.0003
2006-01-09,1.16,1.2875,1.0466,1.2611,1.197,1.172,0.8998,1.0037
2006-01-10,1.166,1.2905,1.0484,1.2624,1.198,1.173,0.9059,1.0028
2006-01-11,1.166,1.2838,1.0462,1.2626,1.2,1.167,0.8985,1.0017
2006-01-12,1.171,1.2874,1.0505,1.275,1.205,1.178,0.9027,1.0053
2006-01-13,1.165,1.2804,1.0433,1.2723,1.196,1.173,0.8956,1.0002
2006-01-16,1.151,1.2689,1.0331,1.2591,1.184,1.159,0.8849,0.9896
2006-01-17,1.153,1.2732,1.0343,1.2591,1.187,1.164,0.8875,0.9945
2006-01-18,1.17,1.2883,1.0419,1.2762,1.198,1.18,0.8985,1.0072
2006-01-19,1.179,1.2955,1.0487,1.2805,1.207,1.191,0.9054,1.012
2006-01-20,1.191,1.2995,1.0509,1.2828,1.223,1.192,0.9072,1.0129
2006-01-23,1.192,1.2982,1.0444,1.2694,1.232,1.192,0.9086,1.01
2006-01-24,1.198,1.2968,1.056,1.2823,1.242,1.202,0.903,1.0109
2006-01-25,1.218,1.3106,1.0737,1.3035,1.266,1.214,0.9098,1.0195
2006-02-06,1.242,1.3402,1.089,1.3296,1.296,1.22,0.9284,1.0347
2006-02-07,1.231,1.3356,1.0796,1.3342,1.289,1.221,0.9288,1.0333
2006-02-08,1.209,1.3299,1.0772,1.3245,1.268,1.219,0.9292,1.0327
2006-02-09,1.196,1.3195,1.07,1.3143,1.264,1.206,0.9189,1.0238
2006-02-10,1.21,1.3348,1.0798,1.3289,1.276,1.211,0.9256,1.0332
2006-02-13,1.217,1.3327,1.08,1.3489,1.262,1.206,0.9211,1.0336
2006-02-14,1.225,1.3381,1.0871,1.3605,1.269,1.209,0.9232,1.0389
2006-02-15,1.227,1.3422,1.0877,1.3608,1.27,1.211,0.9241,1.0424
2006-02-16,1.208,1.3255,1.0737,1.3418,1.256,1.197,0.9065,1.0328
2006-02-17,1.208,1.3273,1.0725,1.3351,1.245,1.193,0.9021,1.0348
2006-02-20,1.209,1.3275,1.0772,1.3317,1.242,1.19,0.9026,1.0361
2006-02-21,1.219,1.3399,1.0851,1.3475,1.253,1.199,0.9137,1.0447
2006-02-22,1.217,1.3356,1.0862,1.3457,1.248,1.199,0.9106,1.0474
2006-02-23,1.218,1.3339,1.0841,1.3482,1.246,1.204,0.9074,1.0495
2006-02-24,1.229,1.3449,1.0958,1.3591,1.261,1.225,0.916,1.056
2006-02-27,1.234,1.3507,1.0991,1.366,1.263,1.223,0.9123,1.0541
2006-02-28,1.24,1.3522,1.1059,1.3845,1.27,1.23,0.9118,1.0575
2006-03-01,1.247,1.3564,1.1125,1.4002,1.276,1.238,0.9181,1.059
2006-03-02,1.241,1.3475,1.1018,1.3851,1.271,1.23,0.9086,1.0557
2006-03-03,1.242,1.3504,1.1038,1.388,1.273,1.233,0.913,1.0596
2006-03-06,1.241,1.3508,1.1039,1.39,1.271,1.232,0.9118,1.0578
2006-03-07,1.228,1.3306,1.0889,1.3701,1.256,1.218,0.897,1.0458
2006-03-08,1.223,1.3214,1.082,1.3682,1.249,1.211,0.8895,1.0406
2006-03-09,1.223,1.3123,1.0762,1.3665,1.247,1.204,0.8929,1.0378
2006-03-10,1.225,1.3136,1.083,1.3672,1.249,1.208,0.8906,1.0417
2006-03-13,1.235,1.3256,1.0959,1.3771,1.255,1.213,0.9005,1.0466
2006-03-14,1.236,1.3252,1.0961,1.3794,1.26,1.219,0.9016,1.047
2006-03-15,1.245,1.3384,1.1066,1.3929,1.269,1.23,0.9109,1.054
2006-03-16,1.247,1.3405,1.1082,1.3978,1.271,1.23,0.9096,1.0528
2006-03-17,1.244,1.3364,1.1069,1.3919,1.269,1.226,0.9118,1.0544
2006-03-20,1.25,1.347,1.116,1.4003,1.275,1.233,0.9216,1.0602
2006-03-21,1.258,1.3485,1.1385,1.4079,1.278,1.232,0.92,1.0606
2006-03-22,1.27,1.3608,1.1462,1.4268,1.283,1.233,0.9222,1.0636
2006-03-23,1.273,1.3614,1.1493,1.4286,1.284,1.238,0.9238,1.0638
2006-03-24,1.27,1.3549,1.1495,1.4285,1.285,1.236,0.9233,1.0622
2006-03-27,1.279,1.3652,1.1622,1.434,1.29,1.238,0.9339,1.0654
2006-03-28,1.289,1.3706,1.1758,1.4467,1.292,1.236,0.934,1.0689
2006-03-29,1.305,1.3829,1.1829,1.4655,1.335,1.28,0.9356,1.0795
2006-03-30,1.301,1.3803,1.1805,1.465,1.336,1.281,0.9284,1.0742
2006-03-31,1.317,1.3935,1.1971,1.4772,1.348,1.286,0.9393,1.0809
2006-04-03,1.341,1.4139,1.2217,1.4936,1.363,1.31,0.9551,1.0972
2006-04-04,1.349,1.4197,1.2242,1.5065,1.378,1.335,0.9592,1.1011
2006-04-05,1.37,1.425,1.2411,1.5181,1.384,1.352,0.9718,1.1106
2006-04-06,1.385,1.4401,1.2432,1.5351,1.399,1.359,0.9769,1.1155
2006-04-07,1.386,1.436,1.2378,1.5319,1.401,1.355,0.9863,1.1169
2006-04-10,1.393,1.4397,1.2459,1.5469,1.406,1.362,0.9907,1.1234
2006-04-11,1.4,1.4467,1.2455,1.5595,1.418,1.365,0.9942,1.1261
2006-04-12,1.394,1.4359,1.2363,1.5532,1.41,1.372,0.9889,1.1188
2006-04-13,1.358,1.4156,1.2115,1.5165,1.392,1.348,0.9701,1.1039
2006-04-14,1.383,1.4287,1.2307,1.5454,1.409,1.357,0.9858,1.12
2006-04-17,1.392,1.4292,1.231,1.5584,1.422,1.358,0.9826,1.1255
2006-04-18,1.401,1.4435,1.2326,1.5668,1.441,1.358,0.9782,1.134
2006-04-19,1.445,1.4612,1.2615,1.6072,1.472,1.364,0.9787,1.1561
2006-04-20,1.452,1.4718,1.2541,1.6167,1.481,1.356,0.9758,1.161
2006-04-21,1.48,1.4959,1.2775,1.6515,1.504,1.367,0.9902,1.1722
2006-04-24,1.509,1.5107,1.2856,1.6715,1.527,1.385,0.9805,1.1977
2006-04-25,1.517,1.5275,1.2906,1.6865,1.547,1.397,0.9923,1.2049
2006-04-26,1.52,1.5343,1.304,1.7016,1.54,1.413,1.0096,1.2036
2006-04-27,1.52,1.5355,1.3054,1.6907,1.56,1.418,1.0203,1.2055
2006-04-28,1.543,1.5578,1.3362,1.7193,1.566,1.412,1.041,1.2108
2006-05-08,1.586,1.5979,1.377,1.7602,1.601,1.444,1.073,1.2503
